commpany_Name,experience_length,experience_level,job_tittle,minimum_qualification,pay,requirements,responsibilities,sector
Babanta Industries Ltd,5 years,Senior level,Financial Manager,Degree,"150,000 - 250,000","Bachelor's degree in Finance, Accounting, or related field; Master's degree or professional certification is a plus.,Proven experience 5 years as a Financial Manager or similar role in a manufacturing or relevant industry.,Strong knowledge of financial management principles, accounting standards, and regulatory requirements.,Excellent analytical, problem-solving, and decision-making skills.,Proficient in financial analysis tools and accounting software.,Strong leadership and team management abilities.,Exceptional communication and interpersonal skills.,Attention to detail and a high level of integrity and professionalism.","Oversee all financial operations and strategies, ensuring the effective management of financial resources and budgets.,Develop and implement financial plans, policies, and procedures in line with company objectives and regulatory requirements.,Prepare and analyze financial reports, providing insights and recommendations to senior management for decision-making.,Manage cash flow, budgeting, forecasting, and financial risk assessment to optimize financial performance.,Lead financial audits and ensure compliance with accounting standards and tax regulations.,Collaborate with other departments to optimize resource allocation and cost control measures.,Evaluate investment opportunities and provide financial guidance on business initiatives.,Manage relationships with financial institutions, auditors, and stakeholders.,Mentor and manage the finance team, fostering a culture of excellence and accountability.","Accounting, Auditing & Finance"
Babanta Industries Ltd,5 years,Senior level,Production Manager,Degree,"150,000 - 250,000","Bachelor's degree in Engineering, Manufacturing, or related field; additional certifications or relevant experience preferred.,Proven experience 5 years in a production management role within a manufacturing setting, preferably in the agricultural equipment industry.,In-depth knowledge of manufacturing processes, lean methodologies, and quality control principles.,Strong leadership, team management, and interpersonal skills.,Analytical mindset with the ability to solve complex problems and make data-driven decisions.,Proficiency in production planning software and Microsoft Office Suite.,Excellent communication skills and the ability to collaborate effectively with diverse teams.","Lead and oversee the entire manufacturing process of agricultural equipment, ensuring adherence to quality standards and production schedules.,Develop and implement production plans, strategies, and policies to meet production targets and optimize manufacturing processes.,Monitor and analyze production metrics, identify areas for improvement, and implement solutions to enhance efficiency and reduce costs.,Supervise and train production staff, fostering a culture of safety, teamwork, and continuous improvement.,Collaborate with cross-functional teams including engineering, procurement, and quality control to ensure smooth workflow and product quality.,Manage inventory levels, materials, and equipment to maintain optimal production levels and minimize downtime.,Maintain a safe working environment and ensure compliance with health and safety regulations.",Product & Project Management
Babanta Industries Ltd,5 years,Senior level,Quality Control Manager,Degree,"150,000 - 250,000","Bachelor's degree in Engineering, Quality Management, or a related field; relevant certifications or experience preferred.,Proven experience 5 years in a quality control role within a manufacturing environment, preferably in the agricultural equipment industry.,In-depth knowledge of quality control methodologies, tools, and best practices.,Strong analytical skills and attention to detail to identify and address quality issues.,Excellent leadership and team management abilities.,Proficiency in quality control software and Microsoft Office Suite.,Effective communication skills and the ability to work collaboratively with cross-functional teams.","Develop, implement, and maintain quality control standards and procedures for the manufacturing of agricultural equipment.,Oversee all aspects of quality control processes, including incoming materials inspection, in-process checks, and final product inspection.,Conduct regular quality audits to identify areas for improvement and ensure compliance with quality standards and regulations.,Analyze production data and quality metrics to identify trends and implement corrective actions when necessary.,Lead a team of quality control inspectors, providing training, guidance, and support to maintain high-quality standards.,Collaborate with production, engineering, and other departments to resolve quality issues and improve manufacturing processes.,Maintain documentation and records related to quality control processes and ensure compliance with quality management systems.",Quality Control & Assurance
Perfectly Planned Productions,2 years,Mid level,Business Development Officer,Degree,"150,000 - 250,000","Minimum academic qualification of Bachelor's degree,2 years of working experience,Good negotiation skill","Developing and sustaining solid relationships with company stakeholders and clients.,Identifying clients' requirements and expectations for each event.,Create and implement innovative event design concepts and experiences.,Strong communication skills, and the ability to present event ideas and plans to clients and vendors by way of a mood board.,Preparing progress reports and keeping clients up to speed on all event plans, while ensuring clients authorize any changes made.,Issuing invoices and collecting payments in a timely manner, and creating comprehensive and readable financial reports.,Analyzing clients feedback data to determine whether they are satisfied with the services rendered.,Conducting market research to identify new business opportunities.,Strong knowledge of venues and vendor offerings while taking clients on tours of venue possibilities.,Stays current on industry and design trends.",Management & Business Development
Joola Real Estate,1 year,Entry level,Sales Representative,OND,"Less than 75,000","Minimum academic qualification of NCE/OND, BSC degree or equivalent.,Proven work experience as a sales representative.,Excellent knowledge of MS Office.,Highly motivated and target-driven with a proven track record in sales,Excellent selling, communication, and negotiation skills.,Prioritizing, time management, and organizational skills.,Relationship management skills and openness to feedback.","Actively source and identify new sales opportunities through various channels.,Present, promote, and sell company services to existing and prospective clients.,Establish, develop, and maintain positive business and customer relationships.,Reach out to customer leads through cold calling and networking.,Achieve agreed-upon sales targets and outcomes within schedule.,Coordinate sales effort with team members and other departments.,Keep abreast of best practices and promotional trends.,Continuously improve through feedback.,Generate weekly reports detailing sales activities, leads, and potential clients.",Sales
StreSERT Integrated Limited,5 years,Senior level,Corporate Commercial Lawyer(Abuja),MBA / MSc,"400,000 - 600,000","Minimum academic qualification Degree from a recognized university and the Nigerian Law School. ,Relevant Postgraduate qualifications will be an added advantage.,Minimum of 5 - 6 years’ post qualification active experience in corporate commercial engagements, capable of drafting and negotiating complex commercial agreements.,A level of interpersonal skills sufficient to enable the post holder to establish and maintain credibility and effective working relationships, with senior contacts both internal and external.,Highly focused commercial approach to business in addition to legal flair.,Concise and precise drafting skills.,Good eye for detail and effective time-management and time management.,The ability to remain confident and assured in difficult circumstances, and to possess the resilience and stamina to sustain performance, particularly when under pressure.,The ability to keep abreast of professional, legal, technological and working practice changes and to impart such knowledge as necessary.","Deal with issues pertaining to business transactions. Draft client agreements, negotiate employment contracts or write purchase agreements.,Review business transactions or negotiate trade, employment and other agreements.,Draft and negotiate contracts, whether in their own right or as part of complex mergers and acquisitions (M&A) and financing transactions.,Provide a broad range of commercial legal support for operational and corporate services issues, advising in particular on a wide range of general commercial contracts of all sizes, including outsourcings, facilities management contracts, marketing and agency contracts, , consultancy and other services arrangements, special events, construction/real estate related contracts, confidentiality agreements and other related commercial contracts etc.,Assist with the revising of current, and development of new procedures, precedents and related ways of enhancing the provision of legal support, particularly in relation to supporting the Procurement function.,Understand and ensure that contracting arrangements are consistent with applicable policies. Working with other commercial lawyers when engaged, including the supervision and training of more junior lawyers as the need arises.,Work on a broad spectrum of transactions, from substantial outsourcing, joint ventures and project development agreements to day-to-day manufacture, logistics/warehousing, advertising arrangements etc.,Work in close contact with the firm’s litigation department.,Engage in negotiations on behalf of clients.,Clarifying with client officers any difficult areas, dealing with and responding to any defences and/or counter claims lodged.,Carry out extensive research and report writing.,Keep up to date with the latest commercial and legal developments,Ensures billing responsibilities are discharged properly and in a timely manner.,Provide mentorship to juniors and work as a team with other Associates.,Fulfill other responsibilities as delegated or assigned by the Managing Partner",Legal Services
Frontier Commercial Services Limited,No Experience/Less than 1 year,Entry level,Sales Executive,OND,"150,000 - 250,000","Must reside in Lagos., preference will be given to Applicants from these axis; Igandu, Iba, lasu-igando, Igbo-elerin, Ajangbadi, Ishashi, Okoko, Alaba, Ojo etc.","Minimum academic qualification of NCE, OND, HND, BSc.,0 - 1 year experience in Real Estate sales. ,At least 1 year experience in sales/marketing , Must be able to work with target. ,Must be result oriented. ,Must be a goal getter , Must be able to work independently. ",Sales
Jobberman (Third Party Recruitment),2 years,Mid level,Sales and Marketing Lead,HND,,"2 years experience required,Minimum academic qualification of HND/ BSc in any discipline,Any other additional qualification is an added advantage,Highly motivated and the target is driven with a proven track record in sales.","Develops and implements strategic marketing plans sales plans and forecasts to achieve corporate objectives for products and services.,Supervise sales associates,Plans and oversees advertising and promotion activities including print, online, electronic media, and direct mail.,Oversees and evaluates market research and adjusts marketing strategy to meet changing market and competitive conditions.,Monitors competitor products, sales and marketing activities.,Establishes and maintains relationships with industry influencers and key strategic partners.,Guides preparation of marketing activity reports and presents them to executive management.,Establishes and maintains a consistent corporate image throughout all product lines, promotional materials, and events.,Directs sales forecasting activities and sets performance goals accordingly.,Directs staffing, training, and performance evaluations to develop and control sales and marketing programs.,Directs market channel development activity and coordinates sales distribution by establishing sales territories, quotas, and goals.,Analyzes and controls expenditures of the division to conform to budgetary requirements.,Assists other departments within an organization in preparing manuals and technical publications.,Prepares periodic sales reports showing sales volume, potential sales, and areas of proposed client base expansion.,Reviews and analyzes sales performances against program quotes and plans to determine effectiveness.",Sales
Dispatch Healthcare International Logistics Ltd,3 years,Mid level,Logistics Manager,Degree,"250,000 - 400,000","Strategic planning and execution.,Inventory management and control.,Vendor negotiation and management.,Team leadership and motivation.,Regulatory compliance.,Cost optimization strategies.,Continuous process improvement.","Bachelor’s degree in Logistics, Supply Chain Management, Business Administration, or related field. Master’s degree is a plus.,Experience: Proven experience as a Logistics Manager or in a similar role.,Skills: In-depth knowledge of logistics and supply chain management. Strong leadership and interpersonal skills.",Supply Chain & Procurement
Jobberman (Third Party Recruitment),7 years,Senior level,Head of Projects,Degree,,"Minimum academic qualification of a First Degree in Architecture or any other relevant field ARCON Certified.,Certification in Project Management courses such as PMP or PRINCE 2.,Minimum of 7 years post NYSC relevant experience in similar roles,Proven track record of successfully completing projects on time and within budget.,Construction Industry Dynamics,Thorough knowledge of OSHA regulations and safety standards,Project designing, Planning, Management & execution, Civil engineering with road and building construction competence,Leadership and business managerial skills,Knowledge of computer operating systems, hardware and software,Persistence and determination,Able to use initiative,Be thorough and pay attention to details","Oversee, direct, monitor, manage and supervise all projects from beginning to end.,Provide leadership, technical guidance and management of AISL’s team of construction professionals (Project Manager, Project Engineer, Project Assistant, Site Supervisors, Architects and others) on all projects.,Develop building plans, renovation plans, conduct design review, meetings and ensure compliance with building codes.,Quality control and Quality assurance.,Making strategic decisions and providing leadership and direction to the Project Manager to implement those decisions.,Constantly reviewing the construction methodology.,Inspect or review projects to monitor compliance with building and safety codes, or other regulations.,Provide oversight and monthly project review.,Provide support through training and mentoring of team members.,Develop implementation plan and ensure adequate monitoring to reduce exposure to risk on various projects.,Study and Negotiate contracts with external vendors to reach profitable agreements.,Ensures the Project Manager obtains the permits and licenses from appropriate authorities.,Determine needed resources (manpower, equipment and materials) from start to finish with attention to budgetary limitations with the Project Manager.,Plan all construction operations and schedule intermediate phases to ensure deadlines will be met.,Offering practical resolution to problems, organized and efficient with a reputation of integrity and ethical values.,Provide technical advice on safe designs and construction.,Ensures the process of hiring of contractors and other staff and allocate responsibilities accordingly.,Always ensure quality construction standards.,Coordinating staff and internal resources.,Ensuring projects meet deadlines.,Managing relationships with clients and stakeholders.,Designing, reviewing and submitting contracts.,Participating in tender processes; design, submission and review.,Designing risk mitigation plans.,Optimizing and improving processes.,Securing growth opportunities and initiating new project.",Product & Project Management
Dispatch Healthcare International Logistics Ltd,2 years,Mid level,Logistics Driver,Vocational,"75,000 - 150,000","License and Certification: Possession of a valid driver’s license. Certification in defensive driving is a plus.,Education: High school diploma or equivalent.,Experience: Proven experience as a logistics driver or in a similar role.","Safely transport goods or passengers to their destination.,Perform routine vehicle maintenance.,Keep accurate records of deliveries.",Driver & Transport Services
SevenHills,5 years,Senior level,"Lead, Procurement & Supply Chain",Degree,,"First Degree in relevant discipline including Business Administration, Supply Chain Management, Logistics, or any other relevant field,Certification from Professional Organizations such as Chartered Institute of Procurement & Supply Management (CIPS), Institute for Supply Management (ISM), Certified Professional in Supply Management (CPSM), and Certified Supply Chain Professional (CSCP) or recognized equivalent,Minimum of 5 years relevant work experience in Procurement or Supply Chain Management in a Construction or an Infrastructural Firm.,Experience with procurement software.,Demonstrates openness to change and ability to manage complexities.,Ability to lead procurement processes using specific procurement methods and to analyzes procurement and supply chain service requirements.,Builds strong relationships with clients and external stakeholders.,Construction Industry Dynamics,Technology,Knowledge of Procurement best practices.,Excellent communication and negotiation skills to persuade and influence others.,Ability to develop collaborative and harmonious relationship with external partners and clients at the senior level.,Must have process improvement experience.,Innovative,Knowledge of Finance,Analytical,Ability to multi-task and prioritize work schedules","Manage the entire process in the planning of procurement and supply chain activities, inventory control, logistics and distribution, ensuring effectively functioning processes to avoid delays and lost opportunities.,Shortlisting of vendors for supply contract.,Be responsible for introducing process improvements in the supply chain and identifying new vendors/suppliers without jeopardizing quality and service delivery.,Ensure effective use of internal standard operating procedures in Procurement, control of workflows, continuous business processes monitoring and elaboration of improvements in systems and processes.,Manage and monitor all transactional Procurement including tendering processes, evaluation, contracting, contract management, legal considerations and payment conditions, contractors, performance evaluation and risk assessment., Implement strategic procurement including sourcing strategy, supplier selection and evaluation, quality management, vendor relationship management and performance measurement.,Ensure timely preparation of procurement plans for projects and monitor their implementation by controlling processes including receipt of requisitions, organization of request (RFQ), Invitation to Bid (ITB) and Request for proposal (RFP), receipt of quotations, bids and proposals, evaluation, and negotiation of certain conditions of contracts in full compliance with a standard procurement manual.,Develop and manage the rosters of suppliers, elaborate supplier selection and evaluation, quality, and performance measurement mechanisms.,Prepare monthly, quarterly and annual procurement plans and progress reports as required.,Lead the establishment and management of professional procurement services through long term agreements and networking with other agencies on similar agreements. ,Perform any other assigned tasks.",Supply Chain & Procurement
Ken Ahia & Associates,2 years,Entry level,Secretary/Admin Officer,Degree,"75,000 - 150,000","Minimum academic qualification of a bachelor's degree in any discipline,Excellent written and verbal communication skills,2 years of working experience","Processing, typing, editing and formatting reports and documents,Filing documents, as well as entering data and maintaining data bases,Liaising with internal units and communicating with the public,Directing internal and external calls, emails and surface mails to designated units,Arranging and scheduling appointments, meetings and events,Monitoring office supplies and ordering replacements,Liaising with artisans, suppliers, technicians etc. to ensure proper equipment and general office maintenance.",Admin & Office
Medife Limited,3 years,Mid level,HR Manager (Part Time),Degree,,"Serve as a resource for employees, addressing their concerns, questions, and providing guidance on company policies and procedures.,Handle employee relations matters, including conflict resolution, disciplinary actions, and performance improvement plans.,Promote a positive work culture by organizing employee engagement activities, training programs, and initiatives to boost employee morale and retention.","Collaborate with hiring managers to identify staffing needs and create accurate job descriptions for open positions.,Implement effective recruitment strategies, including advertising job openings, screening resumes, and conducting interviews.,Coordinate pre-employment activities, including reference checks, background verifications, and employment contract preparation.",Human Resources
Medife Limited,3 years,Mid level,Internal Reports Coordinator (Operations Manager),Degree,,"Prepare visually appealing and well-organised presentations that effectively communicate the key insights and findings from the reports.,Coordinate and schedule meetings with the Directors to present the reports and facilitate discussion.,Clearly present complex information in a simplified manner to aid understanding and decision-making.","Collect, review, and compile various internal reports from different departments within the organization.,Analyze data, identify key findings, and prepare concise summaries for presentation to the Directors.,Ensure accuracy, consistency, and timeliness of the reports.",Management & Business Development
Jobberman (Third Party Recruitment),3 years,Mid level,Venue Officer,Degree,,"Minimum academic qualification of a Bachelor’s degree in events management, facility management, hospitality, or related fields.,3 - 5 years experience in a similar role,Proficiency in the use of Microsoft Office and calendar scheduling tools.,Sound knowledge of safety measures and risk management strategies.,Excellent promotional ability and knowledge of marketing channels and techniques.,Knowledgeable about vendor and facility management.,Working with people,Presenting and Communicating Information ,Relating and Networking,Planning and Organizing,Adhering to Principles and Values,Writing and Reporting,Deciding and initiating action,Leading and Supervising,Negotiating,Delivering Results and Meeting Customer Expectations","Liaises with clients to ascertain their precise event requirements and planning/hall set-up,Makes bookings and reservations for clients as requested by the client or directed by Venue Manager,Handles clients’ queries and troubleshooting on the day of the event to ensure that the event runs smoothly,Liaises with clients and event planners to ensure that events run smoothly,Oversees the dismantling and removal of the event set-up and clearing the venue efficiently after events,Performs detailed post-event evaluation, including data entry and analysis and prepares situation reports per event ,Attends vendors’ meetings to emphasize the do’s and don’ts of the venue    ,Monitors the activities of the vendors during events,Prepares reports on repairs and maintenance checks on all facility properties,Ensures that the restrooms and event venue are well maintained; clean and tidy at all times,Ensures fumigation of the environment is done on a quarterly basis and a register is opened for this purpose,Ensures the degreasing of the generator area is carried out to ensure its cleanliness,Ensures all the air conditioning systems are in good working conditions at all times,Ensures the changing rooms and meeting rooms are washed regularly and kept clean,Ensures the bad paving stones are fixed and replaced where necessary,Ensures damaged POP in the hall are repaired and replaced where necessary,Ensures the re-painting of both halls are done whenever required by reporting it after every event,Ensures that potholes in the surroundings are fixed,Ensures that fire extinguishers are renewed when necessary,Provides additional security/parking attendants for events,Ensures water supply is regular and uninterrupted,Ensures the effective running of the sewage system in the compound,Oversees the effective management of the dust bin waste,Ensures Diesel supply is done effectively and efficiently,Ensures all terms and conditions’ forms are filled and signed by all clients before the events,Ensures filing of all documents ,Ensures parking is meticulously handled per event, especially during dual events,Ensures vendors’ forms are filled and payments are made,Oversees the gardener’s works to ensure proper work is done,Ensures all banquet staffs’ works are done properly,Ensures the storage contents including banquet chairs, tables, rugs and other company properties are accounted for and recorded appropriately,Keeps stock of toiletries,Attends to the clients and carries out other job responsibilities as the need arises.",Estate Agents & Property Management
,5 years,Senior level,Programs Coordinator/Manager,Degree,"250,000 - 400,000","Oversee the organizing and managing of school events, including but not limited to parent-teacher conferences, award ceremonies, cultural events, elections, competitions etc,Oversee all aspects of event logistics, including venue selection, budgeting, scheduling, planning.","Provide strategic direction in planning, developing, and coordinating a diverse range of academic and extracurricular programs that align with the school's mission and objectives,Ensure the goals of school programs are properly articulated and cascaded down to all stakeholders and secure their buy in.,Strategize how to implement new programs and enhance current programs,Collaborate with teachers, administrators, and external partners to ensure the successful implementation of school programs.",Management & Business Development
,10 years,Executive level,Vice Principal Academics - Junior School,Degree,"400,000 - 600,000","Provide guidance and support to teachers in implementing effective teaching strategies and classroom management.,Conduct classroom observations and offer constructive feedback to improve teaching methods.","Collaborate with the Vice Academics Senior School to develop and implement an engaging and effective curriculum for Junior High School students.,Continuously review and update the curriculum to align with educational standards, best practices, and the school's educational philosophy.","Research, Teaching & Training"
Morgan Capital Group,1 year,Mid level,Accountant,OND,"75,000 - 150,000","Minimum academic qualification of OND/HND in Accounting.,1 - 3 years experience in a similar role,Thorough knowledge of basic accounting procedures and principles,Strong analytical, communication, and computer skills (Microsoft Office Suite).,Proficient in MS Excel and accounting software,In-depth understanding of business bookkeeping procedures,Solid knowledge of accounting regulations and practices in Nigeria.,Attention to detail,Confidentiality,Honesty,Budget preparation and monitoring for the entire company and by the department.,Excellent written and oral communication skills.","Reconcile financial discrepancies by collecting and analyzing account information,Document financial transactions by entering account information,Substantiate financial transactions by auditing documents,Maintain accounting controls by preparing and recommending policies and procedures,Secure financial information by completing database backups ,Produce error-free accounting reports and present their results,Provide technical support and advice to management,Support month-end and year-end close process,Communicate effectively with clients Contribute to a strong client relationship through positive interactions with client personnel,Communicate with Manager and Director on work status and client issues that arise,Computing taxes.","Accounting, Auditing & Finance"
Job Intel,2 years,Entry level,Chef (Nigerian and Intercontinental Cuisine),Diploma,"150,000 - 250,000","Minimum of 2 years experience,Proven experience as a Chef, capable of preparing both Nigerian local dishes and intercontinental cuisine.,Extensive knowledge of Nigerian culinary traditions and ingredients.,Proficiency in cooking and presenting international dishes with finesse.,Strong organizational skills and the ability to work efficiently in a fast-paced environment.,Must be a Christian,Culinary certification or relevant qualifications would be an advantage.","Prepare and cook a diverse range of authentic Nigerian local dishes and a variety of intercontinental cuisines.,Develop innovative and appealing menus that showcase a fusion of Nigerian flavors with global culinary traditions.,Ensure high-quality food preparation, presentation, and taste consistency.,Maintain kitchen hygiene standards and adhere to food safety regulations.",Food Services & Catering
High Point Properties Limited,2 years,Entry level,Site Engineer,HND,"150,000 - 250,000","Minimum academic qualification of HND/Bachelor's degree in engineering, construction, or similar.,A driver's license.,Experience in a similar role.,Additional certificates or licenses may be required.,Sound knowledge of Engineering, construction, and design.,Great leadership and organizational skills.,Superb project management skills.,Ability to apply logical and critical thinking skills to projects.,Great written and verbal communication skills.,A willingness to learn.","Organizing materials and ensuring sites are safe and clean.,Preparing cost estimates and ensuring appropriate materials and tools are available.,Providing technical advice and suggestions for improvement on particular projects.,Diagnosing and troubleshooting equipment as required.,Negotiating with suppliers and vendors to ensure the best contracts.,Authorizing technical drawings and engineering plans.,Drawing up work schedules and communicating any adjustments to crew members and clients.,Gathering data, compiling reports and delivering presentations to relevant stakeholders.,Delegating tasks and scheduling meetings and training sessions where required.,Completing quality assurance and providing feedback to the team.",Engineering & Technology
Vento International Trading LTD,5 years,Senior level,Customer Care Representative,High School (S.S.C.E),"75,000 - 150,000","High school diploma, general education degree, or equivalent.,Ability to stay calm when customers are stressed or upset.,Comfortable using computers.,Experience working with customer support.","Maintaining a positive, empathetic, and professional attitude toward customers at all times.,Responding promptly to customer inquiries.,Communicating with customers through various channels.,Acknowledging and resolving customer complaints.,Knowing our products inside and out so that you can answer questions.,Processing orders, forms, applications, and requests.,Keeping records of customer interactions, transactions, comments, and complaints.,Communicating and coordinating with colleagues as necessary.,Providing feedback on the efficiency of the customer service process.,Managing a team of junior customer service representatives.,Ensure customer satisfaction and provide professional customer support.",Customer Service & Support
Africa Delivery Technologies Limited (Kwik),2 years,Entry level,Customer Experience Officer,Degree,"75,000 - 150,000","Minimum academic qualification of a Bachelor's degree in any discipline,2 years of working experience,Good communication skills","Control live operations and make them always work efficiently,Responsible of making every order be delivered in excellent conditions,Control thousands of movement/transactions per day,Answers customer inquiries via phone, email and in person,Updates customers record in the system, including notes about interactions,Creates and maintains reports about customer’s interactions,Develops a rapport with customers,Encourages customers to complete surveys,Make recommendations to management to improve customer experience.",Customer Service & Support
Jobberman (Third Party Recruitment),4 years,Mid level,Personal Assistant,Degree,"250,000 - 400,000","A first degree in Law or a related field of study from any Nigerian-approved university.,A minimum of 4 years work experience as a Personal Assistant.,Ability to work unsupervised will be a plus.,The ideal candidate must be a resource person with great communication skills using diplomacy at all times.,You must be an agile PA who responds to changes quickly.,You need to be loyal and honest in all your dealings. This is a great advantage.,You will be required to travel from time to time as duty calls","Schedule meetings for the President and manage all external itineraries as they relate to seminars, conferences, etc.,Coordinate speaking engagements and events.,Coordinate newspaper reports that concern the company and give full details of the contents of such reports to the President at the earliest time possible to help him make certain quick decisions.,Draft due responses on Newspapers’ reports as they concern the President or the company and forward same to the President for approval to publish.,Help the President in Time Management. You will be expected to provide administrative support to achieve overall strategic business objectives.,Manage all travel plans for the President or as authorized.,Answer phone calls, respond to emails, attend to the President’s guests, and take messages as expected.,Draft certain correspondences such as emails and letters for the approval of the President before dispatching.,Creating article drafts for newspaper publications. ,Research the impact of government policies or such related issues on the company and its partner members.,You will be expected to liaise with various branches of the business in different locations,Any other duty as authorized.",Admin & Office
Drug-IT,2 years,Mid level,Content and Digital Marketing,Degree,"75,000 - 150,000","Minimum academic qualification of a Bachelor's degree,2 years of working experience,Marketing knowledge","Develop high-quality and engaging content for various digital channels, including blogs, websites, social media, email, and more.,Research, write, edit, and proofread content to ensure accuracy, consistency, and alignment with brand voice.,Contribute to the development and implementation of digital marketing strategies to achieve company goals.,Manage and maintain Drug-IT's social media presence, including creating and scheduling posts, monitoring engagement, and responding to inquiries.,Conduct keyword research and implement on-page and off-page SEO strategies to improve organic search rankings and website traffic.",Marketing & Communications
StreSERT Integrated Limited,5 years,Senior level,Corporate Commercial Lawyer(Lagos),MBA / MSc,"400,000 - 600,000"," Minimum academic qualification of a Bachelor's Degree from a recognized university and the Nigerian Law School. ,Relevant Postgraduate qualifications will be an added advantage.,Minimum of 5 - 6 years’ post qualification active experience in corporate commercial engagements, capable of drafting and negotiating complex commercial agreements., A level of interpersonal skills sufficient to enable the post holder to establish and maintain credibility and effective working relationships, with senior contacts both internal and external.,Highly focused commercial approach to business in addition to legal flair.,Concise and precise drafting skills., Good eye for detail and effective time-management and time management.,The ability to remain confident and assured in difficult circumstances, and to possess the resilience and stamina to sustain performance, particularly when under pressure., The ability to keep abreast of professional, legal, technological and working practice changes and to impart such knowledge as necessary.","Deal with issues pertaining to business transactions. Draft client agreements, negotiate employment contracts or write purchase agreements.,Review business transactions or negotiate trade, employment and other agreements.,Draft and negotiate contracts, whether in their own right or as part of complex mergers and acquisitions (M&A) and financing transactions.,Provide a broad range of commercial legal support for operational and corporate services issues, advising in particular on a wide range of general commercial contracts of all sizes, including outsourcings, facilities management contracts, marketing and agency contracts, , consultancy and other services arrangements, special events, construction/real estate related contracts, confidentiality agreements and other related commercial contracts etc.,Assist with the revising of current, and development of new procedures, precedents and related ways of enhancing the provision of legal support, particularly in relation to supporting the Procurement function.,Understand and ensure that contracting arrangements are consistent with applicable policies. Working with other commercial lawyers when engaged, including the supervision and training of more junior lawyers as the need arises.,Work on a broad spectrum of transactions, from substantial outsourcing, joint ventures and project development agreements to day-to-day manufacture, logistics/warehousing, advertising arrangements etc.,Work in close contact with the firm’s litigation department.,Engage in negotiations on behalf of clients.,Clarifying with client officers any difficult areas, dealing with and responding to any defences and/or counter claims lodged.,Carry out extensive research and report writing.,Keep up to date with the latest commercial and legal developments,Ensures billing responsibilities are discharged properly and in a timely manner.,Provide mentorship to juniors and work as a team with other Associates.,Fulfill other responsibilities as delegated or assigned by the Managing Partner",Legal Services
Regulatory Institute,1 year,Entry level,Campaigner and Legal Researcher,Degree,150 - 300,"Map and establish links with non-governmental organizations, and other possible allies (eg. regulatory actors in parliament, the executive or the public administration).,To follow the regulatory evolution of laws in the region of responsibility.,Construction of a map of regulatory actors in the countries to be selected, which will allow the Regulatory Institute to have a more efficient impact in effecting regulatory change.,Develop a document for monitoring proposed legislative projects in African states and draft comments to submit to public consultations based on regulatory articles within the Institute's archive.","Identify allies working in sectors covered by the Model Laws the Regulatory Institute has published and develop links between them and the Regulatory Institute so that we may work together to effect legislative change in the states of Africa., Monitor the regulatory processes related to themes of the Regulatory Institute's Model Laws, with the view to participating in any consultation processes or finding contacts in order to share our Model Laws or research articles.,Propose new campaign strategies, including any creative actions (fact sheets, presentations, advocacy materials) or communication campaigns (letters, emails) that will assist with the objective of effecting regulatory change covered by our research.,Research good examples of regulation in African states to extend the Regulatory Institute's inventory of regulation.,Ensure regular communications and updates on Regulatory Institute initiatives with the allies.",Legal Services
Lekki Gardens Estates Limited,5 years,Senior level,Legal Services Manager,Degree,"400,000 - 600,000","Minimum academic qualification of a Bachelor's degree in Law,Minimum of 5 years of proven work experience,Analytical thinker with strong conceptual and research skills.,A natural leader who displays sound judgment and attention to detail.,Ability to work under pressure and meet deadlines.,Ability to work independently and as part of a team.,Excellent interpersonal, communication, and public speaking skills.","Legal risk,Review and provide legal advice on tender documents.,Review ongoing cases and advise management accordingly.,Liaise with relevant departments to ensure that where legal risks have been identified, appropriate courses of action have been taken.,Provide legal protection and risk management advice to management, especially on contract management.,Provide and interpret legal information, conduct training, and disseminate appropriate legal requirements to staff.,Policy development,Review and advise management on the legal implications of internal policies and procedures.,Review and draft contracts, agreements, and internal policies and ensure that they are in compliance with all statutory or legal requirements.,Litigation management,Review the progress of outstanding litigation and liaise with and manage external lawyers.",Legal Services
Exagon pharm ltd,No Experience/Less than 1 year,Entry level,Medical Representative,Degree,,"Academic qualification of BSC in Pharmacology or Biological Sciences,0 - 2 years of working experience,Good understanding of entrepreneurial and commercial objectives,Knowledge of sales strategies and concepts,Good understanding of developing sales reports","Promotes/sells/secures orders from existing and prospective customers through a relationship-based approach to ensure monthly sales target is met.,Establishes, develops and maintains business relationships with current customers and prospective customers in the assigned territory/market segment to generate new business for the organization’s products/services.,Makes telephone calls and in-person visits and presentations to existing and prospective customers.,Expedites the resolution of customer problems and complaints.,Coordinates sales effort with marketing, sales management, accounting, logistics and technical service groups.,Plans and organizes personal sales strategy by maximizing the Return on Time Investment for the territory/segment.,Supplies management with oral and written reports on customer needs, problems, interests, competitive activities, and potential for products.,Reporting market conditions, competitive activities, advertising and promotional trends in assigned territory.,Maintain a reliable, up-to-date customer record system as per the Sales Procedure Manual,Maintain records of new customers, deleted customers and changes to call cycles to ensure cost effective coverage of the territory,Ensure monthly sales targets, new account targets, key product targets and payment targets are achieved.",Sales
